Module,Feature,User Story,Acceptance Criteria / Expected Behaviour,Data Elements for Listing / Form,Engineer ,Engineer timeline due date,business timeline Due date,Validator,Result - fail or pass,fail comments,QA RETESTING RESULT,PM Validation,DEMO VALIDATION
Account Services,Freeze Customer Account,"As an admin initiator, I want to freeze a customer account so that transactions can be temporarily restricted.","Admin selects account, enters freeze reason, and submits the request. Request goes to approval queue.",,Kelvin,"7th May, 2026",2nd April,Tolu,,Not implemented,,,
Account Services,Approve Account Freeze (Maker–Checker),"As an admin approver, I want to approve freeze requests so that restrictions are properly authorized.","Once approved, the account status changes to Frozen and transactions are blocked.",,Kelvin,"7th May, 2026",2nd April,Tolu,,Not implemented,,,
Account Services,Unfreeze Customer Account,"As an admin initiator, I want to unfreeze a frozen account so that the user can resume transactions.",Admin submits unfreeze request with remarks. Request goes to approval queue.,,Kelvin,"7th May, 2026",2nd April,Tolu,,Not implemented,,,
Account Services,Approve Account Unfreeze (Maker–Checker),"As an admin approver, I want to approve account unfreeze requests so that normal account operations can resume.","Once approved, account status changes to Active and transactions are restored.",,Kelvin,"7th May, 2026",2nd April,Tolu,,Not implemented,,,
Account Services,Close Customer Account,"As an admin initiator, I want to request account closure so that inactive or terminated accounts can be closed.","Admin selects account, provides closure reason, and submits the request for approval.",,Kelvin,"7th May, 2026",2nd April,Tolu,,Not implemented,,,
Account Services,Approve Account Closure (Maker–Checker),"As an admin approver, I want to approve account closure so that accounts are closed only after proper authorization.","Once approved, account status changes to Closed and transactions are permanently disabled.",,Kelvin,"7th May, 2026",2nd April,Tolu,,Not implemented,,,
Account Services,Transaction History,"As an admin, I want to view the full transaction history of an account so that I can monitor financial activity.","System displays credits, debits, timestamps, transaction type, status, and product source. Admin can filter by date range, search, expand details, and export records.",,Kelvin,"7th May, 2026",2nd April,Tolu,,"System display Credits,Transaction type,status, and timestamps correctly. However, the following are missing : product source, date range, filter and export functionality.",,,
,,,,,,,,,,,,,
GL Account Management,View GL Level 1,"As an admin, I want to view all GL Level 1 accounts so that I can manage the main categories in the chart of accounts.","System displays Code, Description, Category Code, Creation Date, and Status. Admin can view account details from the list.",,Awesome ,,24th March,Chioma,,Not yet implemented ,,,
GL Account Management,Search GL Level 1,"As an admin, I want to search GL Level 1 accounts so that I can quickly locate a specific category.",Admin enters GL code or description in the search field and the system returns matching records.,,Awesome ,,24th March,Chioma,,Not yet implemented,,,
GL Account Management,Filter GL Level 1 by Date,"As an admin, I want to filter GL Level 1 records by date so that I can review accounts created within a selected period.",Admin selects Start Date and End Date and the system displays GL accounts created within that period.,,Awesome ,,24th March,Chioma,,"Error message displayed ""Fail to retrieve daily summaries:CBA  service internal error""",,,
GL Account Management,Create GL Level 1,"As an admin initiator, I want to create a GL Level 1 account so that new top-level categories can be added to the chart of accounts.","Admin clicks Create GL Level, enters Code, Description, and Category Code, and submits the request for maker–checker approval.",,Awesome ,,24th March,Chioma,,Not yet implemented,,,
GL Account Management,Bulk Upload GL Level 1,"As an admin, I want to upload multiple GL Level 1 accounts at once so that I can configure the chart of accounts quickly.","Admin clicks Bulk Upload, uploads a CSV/Excel template, system validates the file and imports records successfully.",,Awesome ,,24th March,Chioma,,Not yet implemented ,,,
GL Account Management,Export GL Level 1 Data,"As an admin, I want to export GL Level 1 records so that I can analyze or archive the chart of accounts.",Admin clicks Export and the system downloads GL Level 1 data in Excel format.,,Awesome ,,24th March,Chioma,,Not yet implemented,,,
GL Account Management,View GL Level 1 Details,"As an admin, I want to view the details of a GL Level 1 account so that I can review its configuration and linked accounts.",Admin clicks View and the system displays GL Level 1 account information and associated GL Level 2 accounts.,,Awesome ,,24th March,Chioma,,Not yet implemented,,,
GL Account Management,Edit GL Level 1,"As an admin initiator, I want to edit GL Level 1 details so that account information can be updated when necessary.","Admin clicks Edit, modifies fields, and submits the update for maker–checker approval.",,Awesome ,,24th March,Chioma,,Not yet implemented,,,
GL Account Management,Activate / Deactivate GL Level 1,"As an admin initiator, I want to activate or deactivate GL Level 1 accounts so that unused categories cannot be used in financial configurations.",Status change request is submitted and must be approved by another admin before becoming active.,,Awesome ,,24th March,Chioma,,Not yet implemented,,,
GL Account Management,Approve GL Level 1 Requests,"As an admin approver, I want to review and approve GL Level 1 creation or updates so that the chart of accounts remains controlled and compliant.",Requests appear in the Authorization Queue where the approver can approve or reject the request.,,Awesome ,,24th March,Chioma,,Not yet implemented,,,
GL Account Management ,View GL Level 2,"As an admin, I want to view all GL Level 2 accounts so that I can manage sub-categories under GL Level 1.","System displays Code, Description, GL Level 1 Code, Creation Date, and Status. Admin can view details, edit, and configure rules.",,Awesome ,,24th March,Chioma,,Not yet implemented,,,
GL Account Management,Search GL Level 2,"As an admin, I want to search GL Level 2 accounts so that I can quickly locate specific sub-accounts.",Admin enters GL code or description in the search field and the system returns matching records.,,Awesome ,,24th March,Chioma,,Not yet implemented,,,
GL Account Management,Filter GL Level 2 by Date,"As an admin, I want to filter GL Level 2 records by date so that I can review accounts created during a specific period.",Admin selects Start Date and End Date and the system displays accounts created within that period.,,Awesome ,,24th March,Chioma,,Not yet implemented,,,
GL Account Management,Create GL Level 2,"As an admin initiator, I want to create a GL Level 2 account under a GL Level 1 category so that financial categories can be structured properly.","Admin clicks Create GL Level2, enters Code, Description, and selects GL Level 1 Code, then submits for maker–checker approval.",,Awesome ,,24th March,Chioma,,Not yet implemented,,,
GL Account Management,Bulk Upload GL Level 2,"As an admin, I want to upload multiple GL Level 2 accounts at once so that the chart of accounts can be configured faster.","Admin clicks Bulk Upload, uploads a CSV/Excel template, system validates and imports records successfully.",,Awesome ,,24th March,Chioma,,Not yet implemented,,,
GL Account Management,Export GL Level 2 Data,"As an admin, I want to export GL Level 2 records so that I can analyze or archive the chart of accounts.",Admin clicks Export and system downloads GL Level 2 data in Excel format.,,Awesome ,,24th March,Chioma,,Not yet implemented,,,
GL Account Management,View GL Level 2 Details,"As an admin, I want to view the details of a GL Level 2 account so that I can review its configuration.",Admin clicks View and system displays full GL account information and related configuration.,,Awesome ,,24th March,Chioma,,Not yet implemented,,,
GL Account Management,Edit GL Level 2,"As an admin initiator, I want to edit GL Level 2 details so that account information can be corrected or updated.","Admin clicks Edit, modifies fields, and submits changes for approval via maker–checker workflow.",,Awesome ,,24th March,Chioma,,Not yet implemented,,,
GL Account Management,Configure GL Rules,"As an admin, I want to configure rules for GL Level 2 accounts so that transaction postings follow predefined accounting logic.","Admin clicks Rules, defines posting rules or constraints, and submits configuration for approval.",,Awesome ,,24th March,Chioma,,Not yet implemented,,,
GL Account Management,Activate / Deactivate GL Level 2,"As an admin initiator, I want to activate or deactivate GL Level 2 accounts so that unused accounts cannot be used in transactions.",Status change request is submitted and must be approved by another admin before becoming active.,,Awesome ,,24th March,Chioma,,Not yet implemented,,,
GL Account Management,Approve GL Level 2 Requests,"As an admin approver, I want to review and approve GL Level 2 creation or updates so that the chart of accounts remains controlled.","Requests appear in the Authorization Queue, approver can approve or reject changes.",,Awesome ,,24th March,Chioma,,Not yet implemented,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
GL Posting,Post Accounting Entries,"As a system or admin, I want transactions to post entries into the appropriate GL accounts so that financial records remain accurate.","When a transaction occurs, the system automatically creates debit and credit entries in mapped GL accounts.",,Awesome ,,24th March,Chioma,,,,,
GL Posting,View GL Entries,"As an admin, I want to view GL postings so that I can track how transactions affect financial accounts.","System shows transaction reference, debit GL, credit GL, amount, date, and status.",,Awesome ,,24th March,Chioma,,,,,
GL Posting,Manual GL Posting,"As an authorized admin, I want to manually post entries to GL accounts for adjustments or corrections.","Admin selects Debit GL, Credit GL, Amount, Description and submits for maker–checker approval.",,Awesome ,,24th March,Chioma,,Not yet implemented,,,
GL Posting,GL Posting Approval,"As an approver, I want to review manual postings before they affect the ledger.",Posting appears in Authorization Queue and must be approved before affecting balances.,,Awesome ,,24th March,Chioma,,Not yet implemented,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Regulatory Reporting,Generate Regulatory Reports,"As an admin/compliance officer, I want to generate regulatory reports so that the institution can meet regulatory obligations.","Admin selects report type and reporting period, and the system generates the report based on system data.",,Awesome,,28th March,Chioma,,Not yet implemented,,,
Regulatory Reporting,View Regulatory Reports,"As an admin/compliance officer, I want to view generated regulatory reports so that I can review information before submission.","System displays report details including report name, reporting period, generation date, and status.",,Awesome,,28th March,Chioma,,Not yet implemented,,,
Regulatory Reporting,Export Regulatory Reports,"As an admin/compliance officer, I want to export regulatory reports so that they can be submitted to regulators or archived.","Admin clicks Export and the system downloads the report in Excel, CSV, or PDF format.",,Awesome,,28th March,Chioma,,Not yet implemented,,,
Regulatory Reporting,Schedule Regulatory Reports,"As an admin/compliance officer, I want to schedule periodic regulatory reports so that reports are generated automatically.","Admin configures daily, weekly, monthly, or quarterly schedules, and the system generates reports automatically.",,Awesome,,28th March,Chioma,,Not yet implemented,,,
Regulatory Reporting,Submit Reports to Regulator,"As an admin/compliance officer, I want to submit regulatory reports to the regulator so that the organization remains compliant.","Admin reviews report and submits it. System logs submission date, user, and status.",,Awesome,,28th March,Chioma,,Not yet implemented,,,
Regulatory Reporting,Approve Regulatory Reports,"As an approver, I want to review regulatory reports before submission so that only verified data is sent to regulators.","Generated reports appear in the authorization queue, and approver can approve or reject them.",,Awesome,,28th March,Chioma,,Not yet implemented,,,
Regulatory Reporting,Maintain Reporting Templates,"As an admin, I want to configure regulatory report templates so that the system generates reports according to regulatory requirements.",Admin can create or update report templates and field mappings. Changes require maker–checker approval.,,Awesome,,28th March,Chioma,,Not yet implemented,,,
Regulatory Reporting,Audit Trail for Reports,"As an admin/compliance officer, I want an audit trail for regulatory reports so that reporting activities are traceable.","System logs report generation, modification, approval, export, and submission activities.",,Awesome,,28th March,Chioma,,Not yet implemented,,,
,,,,,,,,,,,,,
Internal Reporting,Generate Internal Reports,"As an admin or management user, I want to generate internal reports so that I can monitor the institution’s operational and financial performance.","User selects report type and reporting period, and the system generates the report using system data.",,Awesome,,28th March,Chioma,,Not yet implemented,,,
Internal Reporting,View Internal Reports,"As an admin or management user, I want to view generated internal reports so that I can review business performance and operations.","System displays report name, reporting period, generation date, and report details.",,Awesome,,28th March,Chioma,,Not yet implemented,,,
Internal Reporting,Export Internal Reports,"As an admin or management user, I want to export internal reports so that I can share them with management or store them for record keeping.","User clicks Export and the system downloads the report in Excel, CSV, or PDF format.",,Awesome,,28th March,Chioma,,Not yet implemented,,,
Internal Reporting,Schedule Internal Reports,"As an admin, I want to schedule internal reports so that reports are automatically generated at defined intervals.","Admin configures daily, weekly, or monthly report schedules, and the system generates reports automatically.",,Awesome,,28th March,Chioma,,Not yet implemented,,,
Internal Reporting,Filter Reports,"As an admin or management user, I want to filter reports by date, product, or branch so that I can analyze specific operational data.","User applies filters such as date range, account type, branch, or transaction type, and the system displays filtered results.",,Awesome,,28th March,Chioma,,Not yet implemented,,,
Internal Reporting,Dashboard Reporting,"As management, I want dashboard summaries of internal reports so that I can quickly monitor key business metrics.","System displays visual summaries such as total transactions, account balances, loan portfolio, and revenue.",,Awesome,,28th March,Chioma,,Not yet implemented,,,
Internal Reporting,Approve Internal Reports,"As a senior admin or manager, I want to approve internally generated reports so that validated reports are used for decision making.","Reports appear in an authorization queue, and the approver can approve or reject them.",,Awesome,,28th March,Chioma,,Not yet implemented,,,
Internal Reporting,Audit Trail for Reports,"As an admin, I want an audit trail of report activities so that report generation and access are traceable.","System logs report generation, export, modification, and approval activities with user and timestamp.",,Awesome,,28th March,Chioma,,Not yet implemented,,,
,,,,,,,,,,,,,
Investment Management,Create Investment Product,"As an admin initiator, I want to create investment products so that customers can invest in different financial opportunities.","System provides a creation form. Upon submission, the product is set to PENDING and sent to the authorization queue for a checker to review.","Product Name, Investment Type (Fixed/Flexible), Min. Amount, Interest Rate (%), Tenor (Days/Months), Terms & Conditions",Awesome,,2nd April,Awesome,,Investment module has not been created yet.,,,
Investment Management,View Investment Products,"As an admin, I want to view all available investment products so that I can manage and monitor them.",A centralized table displaying all configured products. Must include status indicators (Active/Inactive/Pending) and a View action for details.,"Product Name, Investment Type, Return Rate, Tenor, Min. Investment, Status, Creation Date",Awesome,,2nd April,Awesome,,Investment module has not been created yet.,,,
Investment Management,Activate / Deactivate Product,"As an admin initiator, I want to activate or deactivate a product so that only approved products are available to customers.",Changing the status of a live product triggers a Status Change Request. This request remains pending until approved by a different admin (Checker).,"Current Status, Target Status, Reason for Change, Initiator Email",Awesome,,2nd April,Awesome,,Investment module has not been created yet.,,,
Investment Management,Product Approval (Maker-Checker),"As an admin approver, I want to review product configurations before they go live so that only validated products are offered.",The checker can view pending products in the Authorization Queue. They must be able to Approve (Go Live) or Reject (Return to Draft) with remarks.,"Approver Remarks, Decision (Approve/Reject), Approval Timestamp",Awesome,,2nd April,Awesome,,Investment module has not been created yet.,,,
Investment Management,View Customer Investments,"As an admin, I want to view all customer investments so that I can track investment activity on the platform.",A master list of all active and past placements. Includes filters for Product Type and Maturity Date to track upcoming payouts.,"Customer Name, Account Number, Product Name, Amount Invested, Investment Date, Maturity Date, Current Status",Awesome,,2nd April,Awesome,,Investment module has not been created yet.,,,
Investment Management,Process Investment Placement,"As a system, I want to process customer placements so that invested funds are allocated correctly.","When a customer confirms an investment, the system must debit the source account/wallet and create a corresponding entry in the Investment Ledger.","Transaction Ref, Debit Amount, Source Account, Value Date, Investment ID",Awesome,,2nd April,Awesome,,Investment module has not been created yet.,,,
Investment Management,Calculate Investment Returns,"As a system, I want to calculate returns so that customers receive the correct profit or interest.",The system's cron job must calculate accrued interest daily or at the end of the tenor based on the configured rate (Simple or Compound).,"Accrued Interest, Last Calculation Date, Total Expected Return",Awesome,,2nd April,Awesome,,Investment module has not been created yet.,,,
Investment Management,Process Investment Maturity,"As a system/admin, I want to process matured investments so that customers receive their principal and returns.","On the maturity date, the system automatically credits the customer's linked account with the total (Principal + Interest) and marks the status as MATURED.","Settlement Amount, Settlement Date, Destination Account, Final Status",Awesome,,2nd April,Awesome,,Investment module has not been created yet.,,,
Investment Management,Early Investment Withdrawal,"As an admin, I want to process early withdrawal requests so that customers can exit investments before maturity.","System calculates and applies penalties (e.g., forfeiture of interest or % of principal) as per the product terms before releasing the remaining funds.","Penalty Amount, Net Payout, Original Tenor, Days Spent, Liquidation Date",Awesome,,2nd April,Awesome,,Investment module has not been created yet.,,,
Investment Management,Investment Reporting & Export,"As an admin, I want to generate reports on performance so that I can monitor portfolio growth and returns.",Provide an Export button for the investment list. Reports should include totals for active investments vs. matured payouts for reconciliation.,"Export Format (Excel/CSV), Date Range, Total Volume, Total Interest Paid",Awesome,,2nd April,Awesome,,Investment module has not been created yet.,,,
Investment Management,View Investment Management Page,"As an admin, I want to access the Investment Management page so that I can view and manage all investments in the system.","The system displays a table of all investments with search, filters, export, and pagination options.","Reference, Source Account Number, Investment Account Number, Booked Amount, Current Amount, Interest Rate",Awesome,,2nd April,Awesome,,Investment module has not been created yet.,,,
Investment Management,Search Investments,"As an admin, I want to search for investments so that I can quickly locate specific investment records.","The system allows searching by Reference, Source Account Number, or Investment Account Number. Results appear after clicking Search.","Search Keyword, Reference, Source Account Number, Investment Account Number",Awesome,,2nd April,Awesome,,Investment module has not been created yet.,,,
Investment Management,Filter Investments by Date,"As an admin, I want to filter investments by date so that I can view investments created within a specific time range.",Selecting Start Date and End Date and clicking Search returns filtered results. Clicking Clear resets the filters.,"Start Date, End Date",Awesome,,2nd April,Awesome,,Investment module has not been created yet.,,,
Investment Management,Create Investment Placement,"As an admin initiator, I want to create a new investment placement so that customer funds can be invested in a selected product.","Clicking Create Investment opens a form. After submission, the request is sent to the authorization queue for approval before processing.","Source Account Number, Investment Product, Amount, Interest Rate, Tenor, Start Date, End Date",Awesome,,2nd April,Awesome,,Investment module has not been created yet.,,,
Investment Management,Request Investment Certificate,"As an admin, I want to generate an investment certificate so that customers can obtain proof of their investment.",Clicking Request Certificate generates a downloadable certificate linked to a specific investment reference.,"Investment Reference, Customer Name, Account Number, Product Name, Investment Amount, Interest Rate, Maturity Date",Awesome,,2nd April,Awesome,,Investment module has not been created yet.,,,
Investment Management,Pagination for Investment Records,"As an admin, I want to navigate through pages of investment records so that I can view large numbers of investments easily.",The system provides Previous and Next buttons and allows selecting the number of records per page.,"Page Number, Records Per Page",Awesome,,2nd April,Awesome,,Investment module has not been created yet.,,,
Investment Management,View Investment Details,"As an admin, I want to view detailed information about a specific investment so that I can review its financial and lifecycle details.",Selecting a record opens the investment detail view showing complete investment information and status.,"Investment Reference, Customer Name, Account Number, Product Name, Booked Amount, Current Amount, Interest Rate, Start Date, Maturity Date, Status",Awesome,,2nd April,Awesome,,Investment module has not been created yet.,,,
,,,,,,,,,,,,,
Loan Management,Loan Analytics Dashboard,"As a loan admin, I want to view loan analytics so that I can monitor loan portfolio performance and risk levels.","System displays key loan metrics such as total loans issued, outstanding balances, repayment performance, and default rates.","Total Loans, Active Loans, Total Disbursed Amount, Outstanding Balance, Default Rate, Repayment Rate",Awesome,6th April,2nd April,Awesome,,"No outstanding balances, total loans, repayment performance and default payment rates metrics.",,,
Loan Management,View All Loans,"As a loan admin, I want to view all loans in the system so that I can monitor loan activity and track borrower repayment status.","System provides a centralized table showing all loans with search, filter, and pagination capabilities.","Loan ID, Customer Name, Loan Product, Loan Amount, Disbursed Amount, Outstanding Balance, Loan Status, Start Date",Awesome,6th April,2nd April,Awesome,,"No customer name, disbursed amount and oustanding balance",,,
Loan Management,Search Loans,"As a loan admin, I want to search loans so that I can quickly find specific loan records.","The system allows searching by loan ID, customer name, or account number.","Loan ID, Customer Name, Account Number",Awesome,6th April,2nd April,Awesome,,"The system only allows search by loan id, email address and account number and account number search does not return any result.",,,
Loan Management,Filter Loans,"As a loan admin, I want to filter loans by status or date so that I can analyze specific loan categories.","System allows filtering by loan status (Pending, Approved, Disbursed, Overdue, Closed) and date range.","Loan Status, Start Date, End Date",Awesome,6th April,2nd April,Awesome,,"Admins can filter by status, but not by date.",,,
Loan Management,View Pending Loans,"As a loan approver, I want to see pending loan applications so that I can review and approve or reject them.",System lists all pending loans awaiting approval. Approver can approve or reject with remarks.,"Loan ID, Customer Name, Loan Amount, Requested Tenor, Application Date, Status",Awesome,,2nd April,Awesome,,,,,
Loan Management,Approve / Reject Loan,"As a loan admin, I want to approve or reject loan applications so that only qualified borrowers receive loans.",Admin reviews loan details and selects approve or reject. Approved loans move to disbursement stage.,"Decision (Approve/Reject), Approval Remarks, Approval Date",Awesome,6th April,2nd April,Awesome,,"Endpoint to approve loan request for pending request is returning a 403 error. Also, there is no provision for the approver to include remarkes before approving or declining a request.",,,
Loan Management,Loan Disbursement,"As a loan admin, I want to disburse approved loans so that borrowers receive the approved funds.",System transfers funds to the borrower's account after approval and records the disbursement transaction.,"Loan ID, Customer Name, Disbursement Amount, Disbursement Date, Destination Account",Awesome,13th April,2nd April,Awesome,,To be tested,,,
Loan Management,View Loan Details,"As a loan admin, I want to view detailed loan information so that I can monitor repayment schedules and balances.",Selecting a loan record displays loan details including repayment schedule and outstanding balance.,"Loan ID, Customer Name, Loan Amount, Interest Rate, Tenor, Repayment Schedule, Outstanding Balance",Awesome,6th April,2nd April,Awesome,,Selecting a loan record does not display outstanding balance or repayment schedule.,,,
Loan Management,Manage Loan Administrators,"As a system administrator, I want to manage loan administrators so that authorized personnel can manage loan operations.","Admin can create, edit, or deactivate loan admin accounts and assign permissions.","Admin Name, Email Address, Role, Status",Awesome,13th April,2nd April,Awesome,,"Clicking on Loan Admins on the sidebar returns a ""Failed to send OTP"" error.",,,
Loan Management,Loan Settings Configuration,"As a system admin, I want to configure loan settings so that loan policies and rules can be defined.","Admin can configure interest rates, penalty rules, loan limits, and repayment settings.","Loan Product Name, Interest Rate, Minimum Loan Amount, Maximum Loan Amount, Repayment Frequency, Penalty Rate",Awesome,13th April,2nd April,Awesome,,All the settings listed do not currently exist under the Loan Settings page. ,,,
Loan Management,Track Loan Repayments,"As a loan admin, I want to track loan repayments so that I can monitor borrower payment behaviour.",System records repayment transactions and updates outstanding balances automatically.,"Loan ID, Repayment Amount, Payment Date, Remaining Balance",Awesome,13th April,2nd April,Awesome,,There is no page/system to track loan repayments.,,,
Loan Management,Loan Reporting & Export,"As a loan admin, I want to export loan reports so that I can analyze loan performance and share reports externally.",System allows exporting loan data in Excel/CSV format with filters applied.,"Export Format, Date Range, Total Loans, Total Outstanding Amount",Awesome,13th April,2nd April,Awesome,,There is no button to export any loan information.,,,
,,,,,,,,,,,,,
Expense Management,Expense Dashboard,"As a finance admin, I want to view an expense dashboard so that I can monitor organizational spending.","System displays total expenses, pending approvals, approved expenses, and monthly spending trends.","Total Expenses, Pending Expenses, Approved Expenses, Expense Category, Date Range",Awesome,,6th  April,Awesome,,Expense Management module has not been created yet.,,,
Expense Management,Create Expense Request,"As a staff/admin, I want to submit an expense request so that operational costs can be recorded and reimbursed.","System provides an expense submission form. After submission, the expense request is sent to the authorization queue for approval.","Expense Title, Expense Category, Amount, Description, Expense Date, Supporting Document",Awesome,,6th  April,Awesome,,Expense Management module has not been created yet.,,,
Expense Management,View All Expenses,"As a finance admin, I want to view all expense records so that I can track and manage operational spending.","System displays a centralized list of all expenses with filters, search, and pagination.","Expense ID, Expense Title, Category, Amount, Submitted By, Date Submitted, Status",Awesome,,6th  April,Awesome,,Expense Management module has not been created yet.,,,
Expense Management,Search Expenses,"As a finance admin, I want to search expenses so that I can quickly locate specific expense records.","System allows searching by expense ID, category, staff name, or description.","Expense ID, Category, Staff Name",Awesome,,6th  April,Awesome,,Expense Management module has not been created yet.,,,
Expense Management,Filter Expenses,"As a finance admin, I want to filter expenses by category or date so that I can analyze spending patterns.","System allows filtering by category, status, and date range.","Category, Expense Status, Start Date, End Date",Awesome,,6th  April,Awesome,,Expense Management module has not been created yet.,,,
Expense Management,Expense Approval (Maker-Checker),"As a finance approver, I want to approve or reject expense requests so that only valid expenses are paid.",Expense requests appear in the authorization queue where approvers can approve or reject them with remarks.,"Expense ID, Decision (Approve/Reject), Approval Remarks, Approval Date",Awesome,,6th  April,Awesome,,Expense Management module has not been created yet.,,,
Expense Management,Process Expense Payment,"As a finance admin, I want to process approved expense payments so that staff or vendors receive reimbursement.","After approval, system records payment transaction and updates expense status to Paid.","Expense ID, Payment Amount, Payment Date, Payment Method, Payment Reference",Awesome,,6th  April,Awesome,,Expense Management module has not been created yet.,,,
Expense Management,Upload Supporting Documents,"As a staff/admin, I want to attach receipts or invoices so that expenses can be verified.","System allows uploading supporting files (PDF, Image). Files must be linked to the expense record.","File Name, File Type, Upload Date",Awesome,,6th  April,Awesome,,Expense Management module has not been created yet.,,,
Expense Management,Manage Expense Categories,"As a system admin, I want to configure expense categories so that expenses can be classified properly.","Admin can create, edit, or deactivate categories used when submitting expenses.","Category Name, Category Description, Status",Awesome,,6th  April,Awesome,,Expense Management module has not been created yet.,,,
Expense Management,Expense Reporting & Export,"As a finance admin, I want to generate expense reports so that I can analyze operational spending.",System allows exporting expense reports in Excel/CSV format with filters applied.,"Export Format, Date Range, Total Expenses, Category Breakdown",Awesome,,6th  April,Awesome,,Expense Management module has not been created yet.,,,
Expense Management,View Expense Details,"As a finance admin, I want to view detailed information about an expense so that I can audit or verify the record.",Selecting an expense record opens a detailed view showing all expense information and attachments.,"Expense ID, Title, Category, Amount, Description, Submitted By, Expense Date, Status",Awesome,,6th  April,Awesome,,Expense Management module has not been created yet.,,,
Expense Management,Pagination for Expense Records,"As a finance admin, I want to navigate through pages of expense records so that large datasets are easier to manage.",System provides page navigation controls and allows selection of records per page.,"Page Number, Records Per Page",Awesome,,6th  April,Awesome,,Expense Management module has not been created yet.,,,
,,,,,,,,,,,,,
Audit Trail Management,View Audit Dashboard,"As a system auditor, I want to view an audit dashboard so that I can monitor system activities and detect unusual behavior.","System displays summary metrics of admin and customer activities including login attempts, transactions performed, and system changes.","Total Activities, Admin Actions, Customer Actions, Failed Login Attempts, Date Range",Awesome ,,8th April,Awesome,,Audit Trail module has not been created yet.,,,
Audit Trail Management,View Admin Activity Logs,"As a system auditor, I want to view logs of all admin actions so that I can track changes made within the system.","System records and displays all admin actions such as product creation, approvals, account updates, and configuration changes.","Admin Name, Role, Action Performed, Module, Timestamp, IP Address",Awesome ,,8th April,Awesome,,Audit Trail module has not been created yet.,,,
Audit Trail Management,View Customer Activity Logs,"As a system auditor, I want to view logs of customer activities so that I can monitor customer transactions and interactions.","System records and displays all customer activities such as login, transfers, loan applications, and investment placements.","Customer Name, Account Number, Action Performed, Channel, Timestamp, IP Address",Awesome ,,8th April,Awesome,,Audit Trail module has not been created yet.,,,
Audit Trail Management,Search Audit Logs,"As a system auditor, I want to search audit logs so that I can quickly find specific system events.","System allows searching logs using keywords such as username, account number, or action type.","User Name, Account Number, Action Type",Awesome ,,8th April,Awesome,,Audit Trail module has not been created yet.,,,
Audit Trail Management,Filter Audit Logs,"As a system auditor, I want to filter logs by module or date so that I can analyze specific system activities.","System allows filtering by module, user type (Admin/Customer), action type, and date range.","Module Name, User Type, Action Type, Start Date, End Date",Awesome ,,8th April,Awesome,,Audit Trail module has not been created yet.,,,
Audit Trail Management,View Audit Log Details,"As a system auditor, I want to view detailed information about a logged event so that I can understand exactly what action occurred.",Selecting a log entry displays full details of the event including user information and action metadata.,"User ID, User Name, Action, Module, Before Value, After Value, Timestamp",Awesome ,,8th April,Awesome,,Audit Trail module has not been created yet.,,,
Audit Trail Management,Export Audit Logs,"As a system auditor, I want to export audit logs so that I can share them for compliance or investigation purposes.",System allows exporting filtered audit logs in Excel or CSV format.,"Export Format, Date Range, Module, Total Records",Awesome ,,8th April,Awesome,,Audit Trail module has not been created yet.,,,
Audit Trail Management,Track Login Activities,"As a security admin, I want to track login and logout activities so that I can detect unauthorized system access.",System records successful and failed login attempts for both admin and customers.,"User Name, Login Status, Timestamp, IP Address, Device Type",Awesome ,,8th April,Awesome,,Audit Trail module has not been created yet.,,,
Audit Trail Management,Monitor System Changes,"As a compliance officer, I want to track configuration changes so that system modifications are properly documented.",System logs configuration updates including who made the change and what values were modified.,"Admin Name, Module, Changed Field, Old Value, New Value, Timestamp",Awesome ,,8th April,Awesome,,Audit Trail module has not been created yet.,,,
Audit Trail Management,Pagination for Audit Logs,"As a system auditor, I want to navigate through pages of audit logs so that I can review large volumes of activity efficiently.",System provides page navigation controls and allows selecting records per page.,"Page Number, Records Per Page",Awesome ,,8th April,Awesome,,Audit Trail module has not been created yet.,,,
,,,,,,,,,,,,,
User Activity Log,View User Activity Logs,"As a system administrator, I want to view all user activities so that I can monitor actions performed in the system.",The system displays a centralized log of all user activities including both admin and customer actions.,"User Name, User Type (Admin/Customer), Action Performed, Module, Timestamp",Awesome ,,8th April,Awesome,,User Activity Log module has not been created yet.,,,
User Activity Log,View Admin Activity Logs,"As a system auditor, I want to view activities performed by admins so that I can track system changes and operations.","System records all administrative actions such as account updates, product configuration, approvals, and system settings changes.","Admin Name, Role, Module, Action Performed, Timestamp, IP Address",Awesome ,,8th April,Awesome,,User Activity Log module has not been created yet.,,,
User Activity Log,View Customer Activity Logs,"As a system auditor, I want to monitor customer activities so that I can review their interactions with the platform.","System logs customer activities such as login attempts, transfers, loan applications, and investment placements.","Customer Name, Account Number, Action Performed, Channel (Web/Mobile), Timestamp",Awesome ,,8th April,Awesome,,User Activity Log module has not been created yet.,,,
User Activity Log,Search Activity Logs,"As an administrator, I want to search activity logs so that I can quickly locate specific user actions.","The system allows searching logs using keywords such as username, account number, or activity type.","User Name, Account Number, Activity Type",Awesome ,,8th April,Awesome,,User Activity Log module has not been created yet.,,,
